ID,melanin_level,Devo_Day,Treatment,Day in,Time in,Time out,Total time,Chamber_Humidty,Chamber Temp- MIN,Chamber temp- MAX,Avg_Temp,before_mass,after_mass,frass_mass,delta_mass,percent_mass_change,before_osmo,after_osmo,delta_osmo,Exp Notes,gray_value_R,gray_value_G,gray_value_B,mean_gray_value,melanin_percent_R,melanin_percent_G,melanin_percent_B,mean_melanin_percent,,,,,,,
D125,min,20,S,10/18/22,6:33 PM,10:33 AM,16,7-11%,38,38.6,38.3,4.21,3.32,0.003,0.893,0.212114014,,,,,19.875,16.106,18.465,18.14866667,25.461,17.629,24.49,22.52666667,,,,,,,
D126,med,19,C,10/18/22,6:33 PM,10:33 AM,16,7-11%,38,38.6,38.3,7.27,6.64,0.047,0.677,0.093122421,,,,,12.768,12.766,12.207,12.58033333,67.572,66.511,72.354,68.81233333,,,,,,,
D127,max,20,C,10/18/22,6:33 PM,10:33 AM,16,7-11%,38,38.6,38.3,5.54,4.95,0.045,0.635,0.114620939,,,,,13.958,14.254,13.618,13.94333333,74.598,73.819,80.311,76.24266667,,,,,,,
D128,med,20,C,10/18/22,6:33 PM,10:33 AM,16,7-11%,38,38.6,38.3,6.51,5.69,0.07,0.89,0.13671275,,,,,13.58,13.821,12.89,13.43033333,70.327,69.07,73.971,71.12266667,,,,,,,
D129,max,20,C,10/18/22,6:33 PM,10:33 AM,16,7-11%,38,38.6,38.3,3.1,2.83,0.03,0.3,0.096774194,,,,,11.723,11.997,11.008,11.576,80.935,81.425,83.913,82.091,,,,,,,
D130,max,18,C,10/18/22,6:33 PM,10:33 AM,16,7-11%,38,38.6,38.3,4.06,3.67,0.013,0.403,0.099261084,,,,,11.998,12.249,11.765,12.004,73.334,73.946,80.122,75.80066667,,,,,,,
D131,max,18,C,10/24/22,7:05 PM,11:05 AM,16,7-11%,38,38.5,38.25,4.46,4.09,0.013,0.383,0.085874439,,,,,12.243,12.485,12.024,12.25066667,75.583,75.225,80.2,77.00266667,,,,,,,
D132,med,18,C,10/24/22,7:05 PM,11:05 AM,16,7-11%,38,38.5,38.25,3.73,3.44,0.006,0.296,0.079356568,,,,,15.22,15.354,14.861,15.145,67.983,65.633,73.026,68.88066667,,,,,,,
D133,max,20,C,10/24/22,7:05 PM,11:05 AM,16,7-11%,38,38.5,38.25,2.35,2.13,0.03,0.25,0.106382979,,,,,10.924,11.278,10.599,10.93366667,83.322,84.675,88.544,85.51366667,,,,,,,
D134,med,20,C,10/24/22,7:05 PM,11:05 AM,16,7-11%,38,38.5,38.25,4.55,4.18,0.05,0.42,0.092307692,,,,,18.587,16.813,17.564,17.65466667,48.215,39.501,48.137,45.28433333,,,,,,,
D135,min,20,S,10/24/22,7:05 PM,11:05 AM,16,7-11%,38,38.5,38.25,4.85,4.09,0.013,0.773,0.159381443,,,,,26.516,20.863,25.361,24.24666667,15.326,6.566,14.503,12.13166667,,,,,,,
D136,min,18,S,10/24/22,7:05 PM,11:05 AM,16,7-11%,38,38.5,38.25,2.2,2,0.013,0.213,0.096818182,,,,,22.791,19.557,22.539,21.629,23.129,16.838,30.019,23.32866667,,,,,,,
D137,med,19,C,10/24/22,7:05 PM,11:05 AM,16,7-11%,38,38.5,38.25,3.29,2.99,0.017,0.317,0.096352584,,,,,13.314,13.253,13.164,13.24366667,71.089,67.809,77.112,72.00333333,,,,,,,
D138,min,18,C,10/24/22,7:05 PM,11:05 AM,16,7-11%,38,38.5,38.25,2.59,2.3,0.013,0.303,0.116988417,,,,,22.801,19.094,20.489,20.79466667,16.168,10.835,15.048,14.017,,,,,,,
D139,med,20,S,10/24/22,7:05 PM,11:05 AM,16,7-11%,38,38.5,38.25,4.68,4.15,0.05,0.58,0.123931624,,,,,18.174,17.191,17.269,17.54466667,44.745,38.538,45.697,42.99333333,,,,,,,
D140,max,20,C,10/24/22,7:05 PM,11:05 AM,16,7-11%,38,38.5,38.25,3.62,3.33,0.04,0.33,0.091160221,,,,,12.192,12.428,11.557,12.059,82.631,82.24,85.786,83.55233333,,,,,,,
D141,max,19,C,10/26/22,7:34 PM,11:34 AM,16,9-16%,37.9,38.4,38.15,1.97,1.8,0.0072,0.1772,0.089949239,,,,,11.281,11.54,10.786,11.20233333,83.358,84.134,88.4,85.29733333,,,,,,,
D142,min,20,S,10/26/22,7:34 PM,11:34 AM,16,9-16%,37.9,38.4,38.15,1.7,1.26,0.009,0.449,0.264117647,,,,,24.607,22.054,25.194,23.95166667,11.377,8.93,21.321,13.876,,,,,,,
D143,med,20,S,10/26/22,7:34 PM,11:34 AM,16,9-16%,37.9,38.4,38.15,3.04,2.73,0.025,0.335,0.110197368,,,,,22.56,21.258,21.89,21.90266667,37.072,28.78,41.869,35.907,,,,,,,
D144,min,20,C,10/26/22,7:34 PM,11:34 AM,16,9-16%,37.9,38.4,38.15,4.91,4.25,0.041,0.701,0.142769857,,,,,22.979,19.98,21.877,21.612,29.579,17.75,27.845,25.058,,,,,,,
D145,med,20,C,10/26/22,7:34 PM,11:34 AM,16,9-16%,37.9,38.4,38.15,6.84,6.35,0.052,0.542,0.079239766,,,,,14.722,14.878,14.182,14.594,78.192,74.221,80.066,77.493,,,,,,,
D146,med,20,C,10/26/22,7:34 PM,11:34 AM,16,9-16%,37.9,38.4,38.15,3.47,3.17,0.038,0.338,0.09740634,,,,,13.37,13.532,12.641,13.181,75.697,74.945,80.72,77.12066667,,,,,,,
D147,med,19,C,10/26/22,7:34 PM,11:34 AM,16,9-16%,37.9,38.4,38.15,5.2,4.64,0.071,0.631,0.121346154,,,,,11.098,11.127,10.137,10.78733333,81.055,80.528,85.38,82.321,,,,,,,
D148,min,18,S,10/26/22,7:34 PM,11:34 AM,16,9-16%,37.9,38.4,38.15,1.57,1.41,0.013,0.173,0.110191083,,,,,24.375,22.525,23.285,23.395,23.006,14.587,24.294,20.629,,,,,,,
D149,min,20,S,10/26/22,7:34 PM,11:34 AM,16,9-16%,37.9,38.4,38.15,1.57,1.43,0.0021,0.1421,0.090509554,,,,,22.234,18.911,21.321,20.822,9.333,6.997,11.521,9.283666667,,,,,,,
D150,max,19,C,10/26/22,7:34 PM,11:34 AM,16,9-16%,37.9,38.4,38.15,3.22,2.89,0.036,0.366,0.113664596,,,,,10.978,11.204,10.542,10.908,83.93,83.463,86.646,84.67966667,,,,,,,
