ID,gray_R,gray_G,gray_B,avg_gray,percent_R,percent_G,percent_B,avg_percent,darkness,
D071,9.469,9.678,8.986,9.377666667,88.753,89.415,90.886,89.68466667,19.62233333,
D072,11.449,11.532,10.749,11.24333333,81.394,81.964,84.702,82.68666667,17.75666667,
D073,12.969,12.702,12.473,12.71466667,48.98,47.533,54.835,50.44933333,16.28533333,
D074,12.309,12.308,11.442,12.01966667,73.23,74.309,78.466,75.335,16.98033333,
D075,13.67,12.229,12.422,12.77366667,40.853,34.748,39.603,38.40133333,16.22633333,
D076,15.769,14.675,14.239,14.89433333,15.067,13.161,14.985,14.40433333,14.10566667,
D077,16.653,13.681,15.316,15.21666667,19.336,13.549,19.037,17.30733333,13.78333333,
D078,17.315,13.587,14.335,15.079,11.441,7.932,10.381,9.918,13.921,
D079,23.287,19.864,21.165,21.43866667,18.213,5.328,9.846,11.129,7.561333333,
D080,15.41,15.145,16.059,15.538,12.889,12.785,17.048,14.24066667,13.462,
D081,15.15,14.623,16.524,15.43233333,8.891,8.423,13.261,10.19166667,13.56766667,
D082,14.302,14.48,14.176,14.31933333,28.904,29.974,34.82,31.23266667,14.68066667,
D083,12.22,12.337,11.355,11.97066667,85.084,85.193,87.861,86.046,17.02933333,
D084,11.807,12.167,11.384,11.786,90.061,90.277,91.44,90.59266667,17.214,
D085,12.79,12.972,12.291,12.68433333,57.147,57.809,61.843,58.933,16.31566667,
D086,12.536,12.047,11.883,12.15533333,47.627,44.44,49.648,47.23833333,16.84466667,
D087,16.583,15.714,15.482,15.92633333,5.911,5.251,6.46,5.874,13.07366667,
D088,12.786,12.687,11.992,12.48833333,37.207,36.866,40.681,38.25133333,16.51166667,
D089,9.415,9.559,9.435,9.469666667,74.899,74.258,80.953,76.70333333,19.53033333,
D090,11.012,11.2,10.613,10.94166667,75.872,75.972,79.265,77.03633333,18.05833333,
D091,14.164,13.726,13.131,13.67366667,37.362,35.398,39.355,37.37166667,15.32633333,
D092,14.029,12.598,12.812,13.14633333,16.429,14.398,17.005,15.944,15.85366667,
D093,14.936,14.694,14.13,14.58666667,9.649,9.453,10.975,10.02566667,14.41333333,
D094,11.077,11.335,10.715,11.04233333,75.25,75.554,79.507,76.77033333,17.95766667,
D095,11.674,11.836,11.033,11.51433333,78.916,79.455,82.089,80.15333333,17.48566667,
D096,16.372,13.096,14.167,14.545,8.696,6.427,8.747,7.956666667,14.455,
D097,11.574,11.857,11.306,11.579,76.429,75.911,80.046,77.462,17.421,
D098,11.624,10.477,11.027,11.04266667,59.724,54.039,61.264,58.34233333,17.95733333,
D099,10.221,10.315,9.482,10.006,82.265,82.87,86.182,83.77233333,18.994,
D100,12.656,12.17,12,12.27533333,60.26,55.213,61.091,58.85466667,16.72466667,
D101,10.548,10.703,9.92,10.39033333,79.285,79.298,82.452,80.345,18.60966667,
D102,17.02,16.388,16.298,16.56866667,9.065,8.179,10.604,9.282666667,12.43133333,
D103,17.051,15.485,15.173,15.903,9.711,7.592,8.986,8.763,13.097,
D104,13.473,12.769,12.551,12.931,10.634,9.765,11.549,10.64933333,16.069,
D105,16.65,14.843,14.246,15.24633333,33.039,26.49,30.058,29.86233333,13.75366667,
D106,13.011,12.12,11.901,12.344,37.485,34.037,37.722,36.41466667,16.656,
D107,14.469,13.981,14.143,14.19766667,11.229,11.077,13.958,12.088,14.80233333,
D108,15.283,13.646,14.34,14.423,6.412,5.561,7.18,6.384333333,14.577,
D109,10.716,11.172,10.405,10.76433333,90.512,90.606,93.234,91.45066667,18.23566667,
D110,11.904,12.092,11.469,11.82166667,77.906,77.805,82.555,79.422,17.17833333,
D111,11.983,12.186,11.615,11.928,76.807,76.744,81.504,78.35166667,17.072,
D112,13.458,13.056,12.533,13.01566667,59.679,54.837,59.553,58.023,15.98433333,
D113,12.859,12.129,12.048,12.34533333,60.53,55.108,60.661,58.76633333,16.65466667,
D114,14.82,14.454,13.566,14.28,12.645,13.025,15.563,13.74433333,14.72,
D115,14.791,14.625,14.417,14.611,17.817,17.159,21.259,18.745,14.389,
D116,12.226,12.584,11.942,12.25066667,74.557,74.629,77.942,75.70933333,16.74933333,
D117,11.05,11.397,10.67,11.039,80.738,80.776,83.106,81.54,17.961,
D118,19.367,15.488,16.492,17.11566667,22.566,13.617,18.51,18.231,11.88433333,
D119,15.831,14.518,14.379,14.90933333,47.41,40.04,45.063,44.171,14.09066667,
D120,10.18,10.509,9.699,10.12933333,89.688,89.918,91.289,90.29833333,18.87066667,
D121,15.738,14.986,17.447,16.057,14.651,14.348,24.621,17.87333333,12.943,
D122,12.996,12.123,12.329,12.48266667,57.133,51.643,58.72,55.832,16.51733333,
D123,15.647,13.603,14.098,14.44933333,58.978,44.308,51.764,51.68333333,14.55066667,
D124,18.196,16.064,17.291,17.18366667,10.55,8.022,12.318,10.29666667,11.81633333,
D125,14.61,12.568,12.942,13.37333333,19.087,15.472,18.722,17.76033333,15.62666667,
D126,11.095,11.012,10.537,10.88133333,66.393,64.975,70.704,67.35733333,18.11866667,
D127,12.234,12.481,11.893,12.20266667,72.975,71.816,77.345,74.04533333,16.79733333,
D128,12.263,11.977,11.798,12.01266667,69.881,66.494,73.149,69.84133333,16.98733333,
D129,10.845,11,9.946,10.597,82.871,83.065,85.079,83.67166667,18.403,
D130,10.721,10.945,10.4,10.68866667,75.323,75.598,80.625,77.182,18.31133333,
D131,9.5,9.829,9.203,9.510666667,76.94,76.394,80.093,77.809,19.48933333,
D132,14.227,13.951,13.714,13.964,67.546,63.857,71.274,67.559,15.036,
D133,9.001,9.412,8.779,9.064,85.559,86.512,89.967,87.346,19.936,
D134,15.627,14.617,14.281,14.84166667,41.494,36.38,40.967,39.61366667,14.15833333,
D135,19.798,15.915,17.498,17.737,7.937,5.122,7.613,6.890666667,11.263,
D136,16.48,15.078,16.838,16.132,16.101,14.093,21.31,17.168,12.868,
D137,10.862,10.851,10.51,10.741,70.231,66.981,74.656,70.62266667,18.259,
D138,17.084,15.829,15.632,16.18166667,11.024,9.457,11.549,10.67666667,12.81833333,
D139,15.408,13.98,13.896,14.428,40.525,34.732,40.141,38.466,14.572,
D140,10.192,10.57,9.787,10.183,85.103,84.726,87.933,85.92066667,18.817,
D141,9.725,9.916,9.105,9.582,86.29,86.975,90.817,88.02733333,19.418,
D142,18.503,18.022,18.95,18.49166667,6.62,6.54,11.617,8.259,10.50833333,
D143,18.322,17.306,18.072,17.9,26.135,21.571,30.243,25.983,11.1,
D144,18.242,13.351,16.237,15.94333333,23.599,13.845,21.554,19.666,13.05666667,
D145,12.114,12.281,11.617,12.004,75.802,72.079,77.57,75.15033333,16.996,
D146,12.146,12.27,11.29,11.902,75.976,75.151,79.994,77.04033333,17.098,
D147,10.163,10.202,9.219,9.861333333,81.577,80.913,84.885,82.45833333,19.13866667,
D148,20.562,17.875,18.671,19.036,14.813,9.785,15.255,13.28433333,9.964,
D149,16.975,16.236,16.314,16.50833333,6.781,6.39,8.742,7.304333333,12.49166667,
D150,9.84,9.977,9.299,9.705333333,84.29,84.041,86.864,85.065,19.29466667,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
